i,j,v
3,256957,6
2,7727,1
9,205,1
3,19129,23
9,73,1
9,98,1
3,9713,7
2,16467,2
3,8123,1
2,3734,1
3,3461,1
2,2883,1
2,9041,7
3,534,733
3,18652,1
3,1604,1
3,2808,1
9,10815,1
3,1521,1
2,196386,7
3,11731,19
5,169,2
3,226,25
3,502,13
3,13103,12
9,231,1
3,190218,42
2,480,1
2,9700,16
2,10174,1
2,13495,2
2,10658,12
3,191234,1
2,13664,7
2,4904,11
3,4801,23
2,129,327
8,243300,6
2,13846,2
2,4753,11
2,621,8
6,185,1
5,350,1
8,12031,1
3,5034,4
3,691,1
6,6841,6
3,4562,1
3,17863,6
